City,Temperature,Humidity,Condition,Wind_Speed,Date_Time
Port Harcourt,24.32,90,light rain,2.58,2026-07-15 22:23:44
Accra,24.3,85,broken clouds,5.03,2026-07-15 22:23:44
Cape Town,13.33,91,broken clouds,0.72,2026-07-15 22:23:44
